name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm,position_encoded
Thiago Silva,38,Brazil,183,79,84,CB,51,54,74,72,87,74,66,78,62,73,1.0,1.83,1
J. Brandt,27,Germany,185,83,84,CAM,71,80,84,86,51,70,88,71,84,86,1.0,1.85,0
P. Gulácsi,33,Hungary,191,86,84,GK,64,79,76,41,84,74,37,74,41,44,1.0,1.91,5
F. Tomori,25,England,185,79,84,CB,86,40,59,66,86,82,74,84,74,48,1.0,1.85,1
T. Müller,33,Germany,185,76,84,CAM,59,82,83,79,55,69,80,66,67,87,1.0,1.85,0
C. Smalling,33,England,194,81,84,CB,62,47,58,62,87,82,75,85,54,56,1.0,1.94,1
R. Lukaku,30,Belgium,191,94,84,ST,80,84,74,77,38,82,64,95,59,75,0.0,1.91,10
Y. Carrasco,29,Belgium,181,73,84,LW,88,81,80,85,59,66,75,61,86,80,1.0,1.81,7
Fabinho,29,Brazil,188,78,84,CDM,59,69,78,77,82,82,85,80,61,76,1.0,1.88,2
A. Rabiot,28,France,191,80,84,CM,78,76,80,80,82,84,89,83,69,83,0.0,1.91,4
Y. Sommer,34,Switzerland,183,79,84,GK,70,81,83,55,85,68,45,68,55,64,1.0,1.83,5
R. James,23,England,178,87,84,RB,80,72,83,82,82,81,77,84,72,82,1.0,1.78,8
J. Maddison,26,England,175,73,84,CAM,71,81,86,86,54,63,78,53,84,88,1.0,1.75,0
L. Hernández,27,France,184,79,84,CB,76,54,70,70,84,78,69,77,69,63,0.0,1.84,1
M. Škriniar,28,Slovakia,187,80,84,CB,78,41,57,67,86,83,80,87,54,46,1.0,1.87,1
R. De Paul,29,Argentina,180,70,84,CM,78,77,83,82,75,83,92,79,78,86,1.0,1.8,4
Bruno Guimarães,25,Brazil,182,74,84,CM,71,74,81,84,80,81,87,78,77,86,1.0,1.82,4
S. Handanovič,37,Slovenia,193,92,84,GK,64,71,65,44,86,69,36,69,44,41,1.0,1.93,5
M. Depay,29,Netherlands,176,78,84,CF,82,82,81,85,30,80,79,84,81,85,1.0,1.76,3
K. Koulibaly,32,Senegal,186,93,84,CB,76,48,63,68,84,83,68,91,45,65,1.0,1.86,1
Xabi Alonso,34,Spain,183,80,84,CDM,33,70,87,75,76,71,63,74,54,87,1.0,1.83,2
E. Hazard,31,Belgium,175,74,84,LW,83,80,82,87,35,63,74,61,85,84,1.0,1.75,7
Canales,31,Spain,176,65,84,RW,83,79,85,82,68,71,80,71,83,90,0.0,1.76,9
A. Gómez,34,Argentina,167,68,84,CAM,86,78,83,85,39,54,71,44,91,85,1.0,1.67,0
Mikel Merino,27,Spain,189,83,84,CM,72,78,82,82,83,82,83,80,74,83,0.0,1.89,4
Gabriel Jesus,26,Brazil,175,73,84,ST,83,82,75,88,40,77,82,72,92,79,1.0,1.75,10
A. Ramsdale,25,England,191,77,84,GK,67,84,87,53,84,59,35,59,53,65,1.0,1.91,5
Luis Alberto,30,Spain,183,74,84,CM,69,77,85,84,62,58,68,64,77,91,1.0,1.83,4
N. Pope,31,England,199,76,84,GK,68,78,75,36,84,75,37,75,36,50,1.0,1.99,5
R. Kolo Muani,24,France,187,73,84,ST,91,78,73,86,38,67,74,74,84,82,1.0,1.87,10
Koke,31,Spain,176,75,84,CDM,69,72,85,79,79,78,85,75,70,85,1.0,1.76,2
L. Díaz,26,Colombia,180,73,84,LW,91,81,75,87,34,74,84,69,88,77,1.0,1.8,7
M. Ginter,29,Germany,189,86,84,CB,60,59,71,66,85,80,75,84,55,72,1.0,1.89,1
L. Suárez,35,Uruguay,182,86,84,ST,70,86,78,78,46,81,71,84,70,80,1.0,1.82,10
J. Iličić,33,Slovenia,190,79,84,CF,75,86,84,86,40,67,65,74,83,87,0.0,1.9,3
S. Gnabry,27,Germany,176,77,84,RW,81,84,78,84,43,68,75,69,86,80,1.0,1.76,9
M. Mandžukić,33,Croatia,190,85,84,ST,68,80,71,75,65,86,81,87,65,74,1.0,1.9,10
Douglas Costa,29,Brazil,172,70,84,LW,93,73,79,91,43,59,68,56,92,80,0.0,1.72,7
A. Barzagli,37,Italy,187,87,84,CB,68,34,57,64,89,72,53,83,52,62,1.0,1.87,1
Jonas,34,Brazil,181,74,84,ST,64,86,77,84,38,65,73,63,77,83,1.0,1.81,10
I. Bennacer,25,Algeria,175,70,84,CDM,80,72,81,86,79,78,84,71,87,81,0.0,1.75,2
A. Tchouaméni,23,France,187,81,84,CDM,73,69,79,78,81,81,83,81,72,82,1.0,1.87,2
Sergi Darder,29,Spain,180,71,83,CM,81,76,82,83,74,77,84,75,82,84,1.0,1.8,4
Morata,30,Spain,190,84,83,ST,82,82,72,79,31,79,79,81,74,77,1.0,1.9,10
Nacho Fernández,33,Spain,180,76,83,CB,75,37,69,71,82,80,80,79,65,53,1.0,1.8,1
A. Davies,22,Canada,185,77,83,LB,95,66,78,84,74,77,81,75,86,77,0.0,1.85,6
E. Fernández,22,Argentina,178,76,83,CM,73,73,81,80,75,79,85,75,76,86,1.0,1.78,4
A. Lacazette,32,France,175,73,83,ST,72,84,77,83,44,77,72,79,82,81,1.0,1.75,10
C. Eriksen,31,Denmark,181,76,83,CM,59,77,89,81,51,53,74,50,68,90,1.0,1.81,4
A. Romagnoli,28,Italy,185,75,83,CB,69,40,56,69,85,80,68,84,55,45,0.0,1.85,1
B. Pavard,27,France,186,81,83,CB,70,62,73,72,85,78,81,78,66,66,1.0,1.86,1
Marco Asensio,27,Spain,182,76,83,RW,81,81,81,83,43,63,75,63,80,80,0.0,1.82,9
N. Fekir,29,France,173,75,83,CAM,82,81,81,86,39,80,77,80,84,83,0.0,1.73,0
A. Zambo Anguissa,27,Cameroon,184,78,83,CDM,78,68,72,81,81,86,85,87,76,76,1.0,1.84,2
Borja Iglesias,30,Spain,187,86,83,ST,69,84,66,76,40,82,70,92,57,73,1.0,1.87,10
P. Zieliński,29,Poland,180,75,83,CM,81,77,81,86,71,63,79,57,85,84,1.0,1.8,4
Jorginho,31,Italy,178,68,83,CDM,53,67,84,81,74,73,86,66,72,84,1.0,1.78,2
W. Orban,30,Hungary,186,87,83,CB,58,36,56,56,85,81,68,85,48,44,1.0,1.86,1
R. Sterling,28,England,170,69,83,LW,85,78,76,85,45,67,77,65,94,76,1.0,1.7,7
Palhinha,27,Portugal,190,85,83,CDM,62,67,71,76,84,89,87,89,63,71,1.0,1.9,2
L. Pellegrini,27,Italy,186,77,83,CAM,79,76,83,83,74,78,90,74,80,87,1.0,1.86,0
G. Rodríguez,28,Argentina,185,80,83,CDM,51,58,72,70,85,80,76,80,47,73,1.0,1.85,2
Oyarzabal,26,Spain,181,79,83,LW,77,83,80,83,41,62,79,57,77,82,0.0,1.81,7
J. Hofmann,30,Germany,176,72,83,CAM,76,79,83,81,64,73,90,66,79,86,1.0,1.76,0
L. Shaw,27,England,181,75,83,LB,76,57,82,79,81,78,75,77,71,80,0.0,1.81,6
S. Haller,29,Côte d'Ivoire,191,90,83,ST,62,81,63,76,52,81,73,90,67,73,1.0,1.91,10
K. Laimer,26,Austria,180,72,83,CDM,80,69,77,78,81,79,90,69,76,78,1.0,1.8,2
Rafa,30,Portugal,172,66,83,CF,93,77,77,86,50,54,84,40,90,83,1.0,1.72,3
M. Brozović,30,Croatia,181,72,83,CDM,66,74,81,80,80,78,93,68,79,82,1.0,1.81,2
W. Ben Yedder,32,France,170,68,83,ST,80,84,78,87,39,68,72,68,91,80,1.0,1.7,10
F. Acerbi,35,Italy,192,88,83,CB,60,50,64,64,86,80,68,85,32,65,0.0,1.92,1
Ronaldo Cabrais,31,Brazil,177,75,83,CAM,88,77,83,84,35,72,88,68,86,83,1.0,1.77,0
V. Kompany,33,Belgium,190,85,83,CB,50,53,65,64,84,79,65,87,50,59,1.0,1.9,1
E. Garay,32,Argentina,189,90,83,CB,43,60,67,62,82,81,66,90,51,63,1.0,1.89,1
Gerard Moreno,31,Spain,180,77,83,ST,77,85,77,81,46,72,77,73,77,78,0.0,1.8,10
F. Kostić,30,Serbia,184,84,83,LW,85,76,82,82,70,80,90,77,76,80,0.0,1.84,7
G. Mancini,27,Italy,190,77,83,CB,67,45,54,62,83,86,87,83,34,51,1.0,1.9,1
Renato Augusto,32,Brazil,186,86,83,CM,71,79,82,81,72,77,85,79,73,83,1.0,1.86,4
Casillas,38,Spain,185,84,83,GK,70,67,61,60,85,70,41,70,60,62,0.0,1.85,5
Pau Torres,26,Spain,191,80,83,CB,72,38,68,70,84,81,80,81,67,67,0.0,1.91,1
E. Can,29,Germany,186,86,83,CDM,79,78,77,79,82,87,84,86,70,75,1.0,1.86,2
M. Reus,34,Germany,180,71,83,CAM,65,83,83,85,53,63,66,66,81,84,1.0,1.8,0
Jordi Alba,34,Spain,170,68,83,LB,84,70,82,81,76,70,83,61,88,78,0.0,1.7,6
N. Vidić,33,Serbia,190,88,83,CB,52,33,48,50,85,80,52,92,50,44,1.0,1.9,1
Piqué,35,Spain,194,85,83,CB,56,61,71,68,83,76,61,83,56,72,1.0,1.94,1
David Silva,36,Spain,173,67,83,CAM,61,72,86,85,52,53,65,45,80,89,0.0,1.73,0
E. Džeko,37,Bosnia and Herzegovina,193,80,83,ST,59,84,72,77,45,76,67,86,62,74,1.0,1.93,10
Paulinho,32,Brazil,183,80,83,CM,72,81,77,81,80,85,91,82,72,82,1.0,1.83,4
Fernandinho,36,Brazil,179,67,83,CDM,59,72,75,78,84,75,66,75,69,66,1.0,1.79,2
N. Schlotterbeck,23,Germany,191,90,83,CB,78,58,67,73,85,82,73,84,68,68,0.0,1.91,1
D. Vlahović,23,Serbia,190,75,83,ST,80,85,66,79,29,82,79,88,63,68,0.0,1.9,10
W. Saliba,22,France,193,85,83,CB,82,39,69,73,84,82,70,87,50,62,1.0,1.93,1
Unai Simón,26,Spain,190,89,83,GK,67,78,77,37,84,76,44,76,37,48,1.0,1.9,5
J. Frimpong,22,Netherlands,171,64,83,RB,94,56,75,84,74,70,85,61,91,81,1.0,1.71,8
Dani Olmo,25,Spain,179,72,83,CAM,68,76,82,86,50,59,76,54,86,85,1.0,1.79,0
H. Lloris,36,France,188,82,83,GK,73,74,70,54,84,43,41,43,54,57,0.0,1.88,5
Á. Di María,35,Argentina,180,69,83,CF,78,78,86,89,48,67,73,61,91,89,0.0,1.8,3
S. Botman,23,Netherlands,193,81,83,CB,65,37,63,66,84,84,70,90,57,59,0.0,1.93,1
A. Christensen,27,Denmark,187,82,83,CB,67,32,68,71,85,76,73,78,61,62,1.0,1.87,1
J. Giménez,28,Uruguay,185,79,83,CB,71,46,58,61,85,82,71,85,56,46,1.0,1.85,1
A. Meret,26,Italy,190,83,83,GK,65,75,72,46,84,65,29,65,46,25,0.0,1.9,5
P. Schick,27,Czech Republic,191,86,83,ST,79,80,71,81,37,76,69,83,83,74,0.0,1.91,10
Sergio Ramos,37,Spain,184,82,83,CB,57,69,73,70,83,76,54,81,66,71,1.0,1.84,1
M. Hummels,34,Germany,191,94,83,CB,53,58,76,70,86,78,65,87,60,80,1.0,1.91,1
W. Sneijder,33,Netherlands,170,72,83,CAM,69,78,86,82,38,57,62,57,77,88,1.0,1.7,0
K. Manolas,30,Greece,189,83,83,CB,81,25,44,62,85,81,69,83,70,22,1.0,1.89,1
Y. Touré,34,Côte d'Ivoire,189,90,83,CM,63,82,80,76,70,83,73,92,58,85,1.0,1.89,4
Gavi,18,Spain,173,70,83,CM,76,66,78,85,68,70,84,58,86,83,1.0,1.73,4
C. Gakpo,24,Netherlands,189,76,83,CF,85,82,78,84,42,73,76,76,80,79,1.0,1.89,3
Sergio Busquets,34,Spain,189,76,83,CDM,37,62,79,79,81,73,75,71,66,82,1.0,1.89,2
Diego Alves,31,Brazil,187,83,83,GK,70,76,76,69,83,67,43,67,69,64,0.0,1.87,5
D. Livaković,28,Croatia,187,79,82,GK,72,73,71,65,84,75,32,75,65,60,1.0,1.87,5
M. Akanji,27,Switzerland,187,91,82,CB,77,48,70,72,83,78,71,80,66,65,1.0,1.87,1
Nuno Mendes,21,Portugal,176,70,82,LB,89,58,75,80,77,76,81,73,82,72,0.0,1.76,6
Y. En-Nesyri,26,Morocco,188,78,82,ST,81,82,63,76,36,79,83,77,67,56,0.0,1.88,10
Mario Hermoso,28,Spain,184,76,82,CB,75,49,74,71,82,79,73,80,70,66,0.0,1.84,1
Ferran Torres,23,Spain,184,77,82,LW,83,79,78,83,35,68,72,69,84,80,1.0,1.84,7
J. Gvardiol,21,Croatia,185,80,82,CB,78,54,69,74,82,83,79,83,68,65,0.0,1.85,1
T. Werner,27,Germany,180,76,82,ST,91,80,70,82,35,69,81,64,79,68,1.0,1.8,10
N. Mazraoui,25,Morocco,183,65,82,RB,79,66,77,83,77,74,85,70,86,77,1.0,1.83,8
G. Vicario,26,Italy,188,76,82,GK,60,80,79,40,84,53,18,53,40,69,1.0,1.88,5
Carvajal,31,Spain,173,73,82,RB,82,54,76,79,77,79,84,74,78,72,1.0,1.73,8
M. Kovačić,29,Croatia,177,80,82,CM,69,69,82,87,71,70,75,65,86,82,1.0,1.77,4
R. Guerreiro,29,Portugal,170,69,82,LB,65,78,85,88,76,55,77,49,90,85,0.0,1.7,6
J. Pickford,29,England,185,77,82,GK,69,83,87,57,83,70,42,70,57,69,0.0,1.85,5
T. Lemar,27,France,171,66,82,CM,82,78,83,86,67,65,81,57,90,85,0.0,1.71,4
A. Mac Allister,24,Argentina,176,72,82,CM,70,79,82,82,70,72,86,69,76,84,1.0,1.76,4
Joelinton,26,Brazil,186,81,82,CM,78,71,76,82,81,88,88,87,68,83,1.0,1.86,4
David García,29,Spain,185,72,82,CB,59,37,66,65,83,77,69,79,45,52,1.0,1.85,1
J. Ledesma,30,Argentina,186,83,82,GK,65,77,75,40,82,65,40,65,40,38,1.0,1.86,5
S. Fofana,28,Côte d'Ivoire,185,74,82,CM,71,77,76,80,73,86,91,87,69,81,1.0,1.85,4
O. Kökçü,22,Turkey,175,68,82,CM,72,76,83,80,69,79,88,73,78,84,1.0,1.75,4
A. Lopes,32,Portugal,184,81,82,GK,74,73,71,67,83,73,36,73,67,48,0.0,1.84,5
Roberto Firmino,31,Brazil,181,76,82,CF,70,77,79,87,58,77,84,73,83,83,1.0,1.81,3
G. Xhaka,30,Switzerland,185,82,82,CM,49,74,82,73,75,82,85,78,49,82,0.0,1.85,4
F. Dimarco,25,Italy,175,75,82,LB,79,71,80,79,74,71,84,65,74,77,0.0,1.75,6
R. Bentancur,26,Uruguay,187,73,82,CM,70,67,81,83,79,77,86,72,70,83,1.0,1.87,4
V. Tsygankov,25,Ukraine,178,72,82,RW,85,78,79,81,46,61,77,53,82,80,0.0,1.78,9
Pedro Gonçalves,25,Portugal,173,77,82,LW,76,82,81,84,58,66,84,58,83,86,1.0,1.73,7
B. Dia,26,Senegal,180,75,82,ST,82,81,62,81,27,77,74,83,74,65,1.0,1.8,10
Victor Valdés,34,Spain,183,78,82,GK,60,78,77,58,82,71,34,71,58,38,1.0,1.83,5
